facility_id;address;city;medium;meter_id;meter_manufacturer;gateway_id;gateway_product_model;phone;ip;port;gateway_status;meter_status;utc_offset
724;Duvstigen 14;Perstorp;District heating;68139974;ELV;12041762;CMi2110;07190000502364;NULL;NULL;OK;OK;+1
725;Trastvägen 01;Perstorp;District heating;68349300;ELV;12046944;CMi2110;0037282172619;NULL;NULL;OK;OK;+1
726;Ugglestigen 02;Perstorp;District heating;68139965;ELV;12041014;CMi2110;07190000502467;NULL;NULL;OK;OK;+1
727;Färgarevägen 06;Perstorp;District heating;67969994;ELV;12037334;CMi2110;07190000426118;NULL;NULL;OK;OK;+1
728;Tjäderstigen 33;Perstorp;District heating;67841505;ELV;12036146;CMi2110;07190000417141;NULL;NULL;OK;OK;+1
729;Tjäderstigen 31;Perstorp;District heating;67841383;ELV;12035354;CMi2110;07190000417069;NULL;NULL;OK;OK;+1
730;Stråkvägen 01;Perstorp;District heating;68140050;ELV;12041034;CMi2110;07190000502437;NULL;NULL;OK;OK;+1
731;Spjutserödsvägen 22;Perstorp;District heating;67970099;ELV;12037093;CMi2110;07190000426197;NULL;NULL;OK;OK;+1
732;Spjutserödsvägen 17;Perstorp;District heating;67970102;ELV;12036889;CMi2110;07190000426246;NULL;NULL;OK;OK;+1
733;Trastvägen 17;Perstorp;District heating;67970135;ELV;12036867;CMi2110;07190000426219;NULL;NULL;OK;OK;+1
734;Rydbovägen 04;Perstorp;District heating;67841513;ELV;12035360;CMi2110;07190000417063;NULL;NULL;OK;OK;+1
735;Oderljungavägen 57;Perstorp;District heating;68140033;ELV;12041019;CMi2110;07190000502469;NULL;NULL;OK;OK;+1
736;Skarvrörsgatan 10;Perstorp;District heating;68140035;ELV;12041003;CMi2110;07190000502473;NULL;NULL;OK;OK;+1
737;Eddagatan 05;Perstorp;District heating;68349279;ELV;12046841;CMi2110;0037282172818;NULL;NULL;OK;OK;+1
738;Eddagatan 02;Perstorp;District heating;68349255;ELV;12046977;CMi2110;0037282172800;NULL;NULL;OK;OK;+1
739;Eddagatan 04;Perstorp;District heating;68349240;ELV;12046876;CMi2110;0037282172753;NULL;NULL;OK;OK;+1
740;Eddagatan 06;Perstorp;District heating;68140005;ELV;12041040;CMi2110;07190000502454;NULL;NULL;OK;OK;+1
